,0,1
123,-118.5141837504662,-186.46082930033472
124,-117.46175909371556,-187.7034013009887
125,-116.85075819477532,-187.46799635335145
126,-115.50838874436425,-187.6792911239277
127,-115.65322800652115,-187.94042106603536
128,-114.07156465022406,-188.46868851971706
129,-113.51371986380633,-188.72861869485075
130,-111.7336696618158,-187.05103955926782
131,-112.43951938871811,-186.35768672128103
132,-113.26488260005615,-187.23793847165666
133,-112.5544700030634,-188.05381781281406
134,-112.39661225746895,-188.02314436426673
135,-111.00833826341899,-187.9990541691595
136,-109.53508230346583,-187.90779759878734
137,-107.57516179823683,-186.45561706918446
138,-106.37560630807893,-186.1742054820349
139,-104.2883333254941,-187.08530915037466
140,-102.80137306421987,-186.47300628235055
141,-101.66861745392207,-186.26151383660948
142,-101.150308361397,-186.48122945679535
143,-99.76991054234387,-186.31974399337042
144,-99.69962773579456,-185.99076118410056
145,-98.74546174043385,-186.19091257732813
146,-99.04615738881553,-186.5074178073672
147,-97.76026817367853,-186.23636518631255
148,-97.58602033019044,-186.76680817365025
149,-96.29174711914591,-186.3469673607289
150,-95.41820234683998,-186.89536909973998
151,-94.22834735643468,-187.55051324376143
152,-93.06120536938607,-187.30059090057057
153,-92.73897347290496,-188.08834870558388
154,-91.87697468739958,-187.52329786931404
155,-91.35770555608066,-187.40237561690822
156,-90.18077095156974,-187.9281614804695
157,-89.76187449933455,-187.39533941208632
158,-89.5626605585666,-188.38843590411278
159,-89.61320022198537,-188.15421692645975
160,-89.12725633098242,-186.43643642445693
161,-89.47193820503688,-186.3858032513994
162,-89.53995932300438,-185.860346708077
163,-89.5084278631993,-186.91089512076698
164,-88.96392595000583,-185.6999390328697
165,-89.45171620775955,-183.89372350783233
166,-89.66151981157576,-182.68889945267753
167,-89.29347563154808,-182.3730117273482
168,-89.44807917300125,-181.89337562660094
169,-89.02650817761536,-182.24575963309343
170,-88.9244485897597,-182.40337727092572
171,-87.27565773675414,-180.58855118264387
172,-85.96093751174723,-180.30241643080228
173,-84.83479766609952,-178.70910700719082
174,-84.15405771766474,-178.16914206323702
175,-83.33635027487365,-177.21473584954833
176,-82.07863570872728,-177.38280404044784
177,-80.58862600981406,-177.3430695122172
178,-80.02560817911274,-177.40396135544424
